date,open,high,low,close,volume,average,barCount
2026-04-17 14:55:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 14:56:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 14:57:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 14:58:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 14:59:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:00:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:01:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:02:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:03:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:04:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:05:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:06:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:07:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:08:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:09:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:10:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:11:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:12:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:13:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:14:00-04:00,78.0,78.0,78.0,78.0,0.0,78.0,0
2026-04-17 15:15:00-04:00,77.93,77.93,77.93,77.93,102.0,77.93,1
2026-04-17 15:16:00-04:00,77.93,77.93,77.93,77.93,0.0,77.93,0
2026-04-17 15:17:00-04:00,77.93,77.93,77.93,77.93,0.0,77.93,0
2026-04-17 15:18:00-04:00,78.06,78.06,78.06,78.06,200.0,78.06,1
2026-04-17 15:19:00-04:00,78.06,78.06,78.06,78.06,0.0,78.06,0
2026-04-17 15:20:00-04:00,78.24,78.24,78.19,78.2,500.0,78.204,5
2026-04-17 15:21:00-04:00,78.2,78.2,78.2,78.2,0.0,78.2,0
2026-04-17 15:22:00-04:00,78.2,78.2,78.2,78.2,0.0,78.2,0
2026-04-17 15:23:00-04:00,78.04,78.1,78.04,78.1,2151.0,78.096,2
2026-04-17 15:24:00-04:00,78.09,78.1,78.09,78.09,917.0,78.095,2
2026-04-17 15:25:00-04:00,78.09,78.09,78.09,78.09,0.0,78.09,0
2026-04-17 15:26:00-04:00,78.09,78.09,78.09,78.09,0.0,78.09,0
2026-04-17 15:27:00-04:00,78.09,78.09,78.09,78.09,0.0,78.09,0
2026-04-17 15:28:00-04:00,78.32,78.32,78.32,78.32,116.0,78.32,1
2026-04-17 15:29:00-04:00,78.32,78.32,78.32,78.32,0.0,78.32,0
2026-04-17 15:30:00-04:00,78.32,78.32,78.32,78.32,0.0,78.32,0
2026-04-17 15:31:00-04:00,78.32,78.32,78.32,78.32,0.0,78.32,0
2026-04-17 15:32:00-04:00,78.56,78.57,78.56,78.56,100.0,78.565,1
2026-04-17 15:33:00-04:00,78.56,78.56,78.56,78.56,0.0,78.56,0
2026-04-17 15:34:00-04:00,78.56,78.56,78.56,78.56,0.0,78.56,0
2026-04-17 15:35:00-04:00,78.56,78.56,78.56,78.56,0.0,78.56,0
2026-04-17 15:36:00-04:00,78.56,78.56,78.56,78.56,0.0,78.56,0
2026-04-17 15:37:00-04:00,78.56,78.56,78.56,78.56,0.0,78.56,0
2026-04-17 15:38:00-04:00,78.56,78.56,78.56,78.56,0.0,78.56,0
2026-04-17 15:39:00-04:00,78.39,78.43,78.38,78.4,477.0,78.403,3
2026-04-17 15:40:00-04:00,78.4,78.4,78.4,78.4,0.0,78.4,0
2026-04-17 15:41:00-04:00,78.4,78.4,78.4,78.4,0.0,78.4,0
2026-04-17 15:42:00-04:00,78.4,78.4,78.4,78.4,0.0,78.4,0
2026-04-17 15:43:00-04:00,78.4,78.4,78.4,78.4,0.0,78.4,0
2026-04-17 15:44:00-04:00,78.4,78.4,78.4,78.4,0.0,78.4,0
2026-04-17 15:45:00-04:00,78.4,78.4,78.4,78.4,0.0,78.4,0
2026-04-17 15:46:00-04:00,78.4,78.4,78.4,78.4,0.0,78.4,0
2026-04-17 15:47:00-04:00,78.25,78.25,78.24,78.25,102.0,78.245,1
2026-04-17 15:48:00-04:00,78.25,78.25,78.25,78.25,0.0,78.25,0
2026-04-17 15:49:00-04:00,78.35,78.35,78.35,78.35,100.0,78.35,1
2026-04-17 15:50:00-04:00,78.26,78.26,78.26,78.26,100.0,78.26,1
2026-04-17 15:51:00-04:00,78.16,78.16,78.15,78.16,400.0,78.158,4
2026-04-17 15:52:00-04:00,78.16,78.16,78.16,78.16,0.0,78.16,0
2026-04-17 15:53:00-04:00,78.16,78.16,78.16,78.16,0.0,78.16,0
2026-04-17 15:54:00-04:00,78.16,78.16,78.16,78.16,0.0,78.16,0
2026-04-17 15:55:00-04:00,78.14,78.33,78.14,78.33,3051.0,78.209,11
2026-04-17 15:56:00-04:00,78.33,78.33,78.33,78.33,0.0,78.33,0
2026-04-17 15:57:00-04:00,78.33,78.33,78.33,78.33,0.0,78.33,0
2026-04-17 15:58:00-04:00,78.33,78.33,78.33,78.33,0.0,78.33,0
2026-04-17 15:59:00-04:00,78.35,78.35,78.35,78.35,100.0,78.35,1
2026-04-17 16:00:00-04:00,78.5,78.5,78.5,78.5,182.0,78.5,1
2026-04-17 16:01:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:02:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:03:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:04:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:05:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:06:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:07:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:08:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:09:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:10:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:11:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:12:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:13:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:14:00-04:00,78.5,78.5,78.5,78.5,0.0,78.5,0
2026-04-17 16:15:00-04:00,78.55,78.55,78.55,78.55,165.0,78.55,1
2026-04-17 16:16:00-04:00,78.55,78.55,78.55,78.55,0.0,78.55,0
2026-04-17 16:17:00-04:00,78.55,78.55,78.55,78.55,0.0,78.55,0
2026-04-17 16:18:00-04:00,78.55,78.55,78.55,78.55,0.0,78.55,0
2026-04-17 16:19:00-04:00,78.55,78.55,78.55,78.55,0.0,78.55,0
2026-04-17 16:20:00-04:00,78.55,78.55,78.55,78.55,0.0,78.55,0
2026-04-17 16:21:00-04:00,78.55,78.55,78.55,78.55,0.0,78.55,0
2026-04-17 16:22:00-04:00,78.55,78.55,78.55,78.55,0.0,78.55,0
2026-04-17 16:23:00-04:00,77.9,77.9,77.9,77.9,137.0,77.9,1
2026-04-17 16:24:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:25:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:26:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:27:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:28:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:29:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:30:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:31:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:32:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:33:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:34:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:35:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:36:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:37:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:38:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:39:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:40:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:41:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:42:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:43:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:44:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:45:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:46:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:47:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:48:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:49:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:50:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:51:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:52:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:53:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:54:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:55:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:56:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:57:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:58:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 16:59:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:00:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:01:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:02:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:03:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:04:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:05:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:06:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:07:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:08:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:09:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:10:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:11:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:12:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:13:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:14:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:15:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:16:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:17:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:18:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:19:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:20:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:21:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:22:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:23:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:24:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:25:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:26:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:27:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:28:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:29:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:30:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:31:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:32:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:33:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:34:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:35:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:36:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:37:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:38:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:39:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:40:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:41:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:42:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:43:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:44:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:45:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:46:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:47:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:48:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:49:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:50:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:51:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:52:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:53:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:54:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:55:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:56:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:57:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:58:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 17:59:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:00:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:01:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:02:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:03:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:04:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:05:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:06:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:07:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:08:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:09:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:10:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:11:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:12:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:13:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:14:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:15:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:16:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:17:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:18:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:19:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:20:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:21:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:22:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:23:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:24:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:25:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:26:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:27:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:28:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:29:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:30:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:31:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:32:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:33:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:34:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:35:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:36:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:37:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:38:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:39:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:40:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:41:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:42:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:43:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:44:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:45:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:46:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:47:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:48:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:49:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:50:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:51:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:52:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:53:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:54:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:55:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:56:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:57:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:58:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 18:59:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:00:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:01:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:02:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:03:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:04:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:05:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:06:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:07:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:08:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:09:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:10:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:11:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:12:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:13:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:14:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:15:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:16:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:17:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:18:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:19:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:20:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:21:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:22:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:23:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:24:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:25:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:26:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:27:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:28:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:29:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:30:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:31:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:32:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:33:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:34:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:35:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:36:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:37:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:38:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:39:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:40:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:41:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:42:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:43:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:44:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:45:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:46:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:47:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:48:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:49:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:50:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:51:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:52:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:53:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:54:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:55:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:56:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:57:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:58:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-17 19:59:00-04:00,77.9,77.9,77.9,77.9,0.0,77.9,0
2026-04-20 04:01:00-04:00,76.01,76.06,76.01,76.06,200.0,76.035,2
2026-04-20 04:02:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:03:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:04:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:05:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:06:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:07:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:08:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:09:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:10:00-04:00,76.06,76.06,76.06,76.06,0.0,76.06,0
2026-04-20 04:11:00-04:00,76.11,76.11,76.11,76.11,106.0,76.11,1
2026-04-20 04:12:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
2026-04-20 04:13:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
2026-04-20 04:14:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
2026-04-20 04:15:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
2026-04-20 04:16:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
2026-04-20 04:17:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
2026-04-20 04:18:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
2026-04-20 04:19:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
2026-04-20 04:20:00-04:00,76.11,76.11,76.11,76.11,0.0,76.11,0
